3.960000000000000142e+01,1.147999999999999972e+02
4.000000000000000000e+01,1.163400000000000034e+02
3.900000000000000000e+01,1.140000000000000000e+02
4.000000000000000000e+01,1.150000000000000000e+02
4.100000000000000000e+01,1.160000000000000000e+02
3.950000000000000000e+01,1.135000000000000000e+02
4.050000000000000000e+01,1.155000000000000000e+02
4.029999999999999716e+01,1.144000000000000057e+02
3.850000000000000000e+01,1.135000000000000000e+02
3.929999999999999716e+01,1.170000000000000000e+02
3.950000000000000000e+01,1.150000000000000000e+02
3.939999999999999858e+01,1.160000000000000000e+02
3.900000000000000000e+01,1.145999999999999943e+02
4.050000000000000000e+01,1.155000000000000000e+02
4.120000000000000284e+01,1.150000000000000000e+02
4.200000000000000000e+01,1.160000000000000000e+02
4.170000000000000284e+01,1.147999999999999972e+02
3.800000000000000000e+01,1.150000000000000000e+02
3.700000000000000000e+01,1.160000000000000000e+02
3.750000000000000000e+01,1.140000000000000000e+02
